phulucId:ID,soPhuLuc,tenPhuLuc,:LABEL
119/BGDĐT-GDTH-Phụ_lục_1,Phụ lục 1,"Nội dung, tạo lập, quản lý, phát hành và sử dụng Học bạ số",PhuLuc
119/BGDĐT-GDTH-Phụ_lục_2,Phụ lục 2,TÀI LIỆU KỸ THUẬT ĐẶC TẢ HỌC BẠ SỐ CẤP TIỂU HỌC,PhuLuc
