vanbanId:ID,loaiVanBan,trichYeu,ngayBanHanh,noiBanHanh,:LABEL
904/KH-BGDĐT,Kế hoạch,Triển khai Học bạ số cấp trung học từ năm học 2023-2024,30 tháng 07 năm 2024,Hà Nội,VanBan
04/CT-TTg,Chỉ thị,Chỉ thị số 04/CT-TTg,,,VanBan
