:START_ID,:END_ID,:TYPE
BỘ GIÁO DỤC VÀ ĐÀO TẠO,904/KH-BGDĐT,BAN_HANH
904/KH-BGDĐT,Phạm Ngọc Thưởng,KY_BOI
904/KH-BGDĐT,04/CT-TTg,CAN_CU
904/KH-BGDĐT,904/KH-BGDĐT-Muc_I,CO_MUC
904/KH-BGDĐT,904/KH-BGDĐT-Muc_II,CO_MUC
904/KH-BGDĐT-Muc_II,904/KH-BGDĐT-Muc_II-NV_1,GIAO_NHIEM_VU
Vụ GDTrH,904/KH-BGDĐT-Muc_II-NV_1,CHU_TRI
Vụ GDTX,904/KH-BGDĐT-Muc_II-NV_1,PHOI_HOP
Cục CNTT,904/KH-BGDĐT-Muc_II-NV_1,PHOI_HOP
Vụ PC,904/KH-BGDĐT-Muc_II-NV_1,PHOI_HOP
Vụ KHTC,904/KH-BGDĐT-Muc_II-NV_1,PHOI_HOP
904/KH-BGDĐT-Muc_II,904/KH-BGDĐT-Muc_II-NV_3,GIAO_NHIEM_VU
Vụ GDTrH,904/KH-BGDĐT-Muc_II-NV_3,CHU_TRI
Vụ GDTX,904/KH-BGDĐT-Muc_II-NV_3,PHOI_HOP
Cục CNTT,904/KH-BGDĐT-Muc_II-NV_3,PHOI_HOP
Vụ KHTC Các Sở GDĐT,904/KH-BGDĐT-Muc_II-NV_3,PHOI_HOP
đơn vị cung cấp dịch vụ,904/KH-BGDĐT-Muc_II-NV_3,PHOI_HOP
904/KH-BGDĐT-Muc_II,904/KH-BGDĐT-Muc_II-NV_5,GIAO_NHIEM_VU
Sở GDĐT,904/KH-BGDĐT-Muc_II-NV_5,CHU_TRI
Vụ GDTX,904/KH-BGDĐT-Muc_II-NV_5,PHOI_HOP
Vụ GDTrH,904/KH-BGDĐT-Muc_II-NV_5,PHOI_HOP
Vụ PC,904/KH-BGDĐT-Muc_II-NV_5,PHOI_HOP
Cục CNTT,904/KH-BGDĐT-Muc_II-NV_5,PHOI_HOP
Vụ KHTC và các đơn vị cung cấp dịch vụ,904/KH-BGDĐT-Muc_II-NV_5,PHOI_HOP
904/KH-BGDĐT-Muc_II,904/KH-BGDĐT-Muc_II-NV_7,GIAO_NHIEM_VU
Vụ GDTrH,904/KH-BGDĐT-Muc_II-NV_7,CHU_TRI
Vụ GDTX,904/KH-BGDĐT-Muc_II-NV_7,PHOI_HOP
Cục CNTT,904/KH-BGDĐT-Muc_II-NV_7,PHOI_HOP
Vụ KHTC và các đơn vị cung cấp dịch vụ,904/KH-BGDĐT-Muc_II-NV_7,PHOI_HOP
904/KH-BGDĐT,904/KH-BGDĐT-Muc_III,CO_MUC
