vanbanId:ID,loaiVanBan,trichYeu,:LABEL
2904/QĐ-BGDĐT,Quyết định,Về việc đính chính Phụ lục 1 và Phụ lục 2 ban hành kèm theo Thông tư số 27/2020/TT-BGDĐT ngày 04 tháng 9 năm 2020 của Bộ trưởng Bộ Giáo dục và Đào tạo ban hành Quy định đánh giá học sinh tiểu học,VanBan
Thông tư số 27/2020/TT-BGDĐT,Thông tư,Quy định đánh giá học sinh tiểu học,VanBan
80/2015/QH13,Luật,Luật Ban hành văn bản quy phạm pháp luật số 80/2015/QH13 ngày 22 tháng 6 năm 2015,VanBan
34/2016/NĐ-CP,Nghị,Nghị định số 34/2016/NĐ-CP ngày 14/05/2016 của Chính phủ quy định chi tiết và biện pháp thi hành Luật ban hành văn bản quy phạm pháp luật,VanBan
30/2020/NĐ-CP,Nghị,Nghị định số 30/2020/NĐ-CP ngày 05/03/2020 của Chính phủ về công tác văn thư,VanBan
69/2017/NĐ-CP,Nghị,"Nghị định số 69/2017/NĐ-CP ngày 25 tháng 5 năm 2017 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu của Bộ Giáo dục và Đào tạo",VanBan
