coquanId:ID,ten,:LABEL
BỘ GIÁO DỤC VÀ ĐÀO TẠO,BỘ GIÁO DỤC VÀ ĐÀO TẠO,CoQuanToChuc
Sở Giáo dục và Đào tạo,Sở Giáo dục và Đào tạo,CoQuanToChuc
Phòng Giáo dục và Đào tạo,Phòng Giáo dục và Đào tạo,CoQuanToChuc
cơ sở giáo dục,cơ sở giáo dục,CoQuanToChuc
