:START_ID,:END_ID,:TYPE
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_16,QD-27/2020/TT-BGDĐT-Chương_IV-Điều_16-Khoan_2,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_16-Khoan_2,QD-27/2020/TT-BGDĐT-Chương_IV-Điều_16-Khoan_2-Diem_b,CHUA_DIEM
QD-27/2020/TT-BGDĐT-Chương_IV,QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17,BAO_GOM_DIEU
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17,QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_2,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17,QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_1,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17,QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_3,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17,QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_4,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17,QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_5,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17,QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_6,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17,QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_1,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17,QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_2,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17,QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_3,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17,QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_4,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17,QD-27/2020/TT-BGDĐT-Chương_IV-Điều_17-Khoan_5,CHUA_KHOAN
