:START_ID,:END_ID,:TYPE
QC-1789/QĐ-SGDĐT-Chương_VI,QC-1789/QĐ-SGDĐT-Chương_VI-Điều_28,BAO_GOM_DIEU
QC-1789/QĐ-SGDĐT-Chương_VI,QC-1789/QĐ-SGDĐT-Chương_VI-Điều_29,BAO_GOM_DIEU
QC-1789/QĐ-SGDĐT-Chương_VI,QC-1789/QĐ-SGDĐT-Chương_VI-Điều_30,BAO_GOM_DIEU
QC-1789/QĐ-SGDĐT-Chương_VI,QC-1789/QĐ-SGDĐT-Chương_VI-Điều_31,BAO_GOM_DIEU
QC-1789/QĐ-SGDĐT-Chương_VI,QC-1789/QĐ-SGDĐT-Chương_VI-Điều_32,BAO_GOM_DIEU
QC-1789/QĐ-SGDĐT-Chương_VI,QC-1789/QĐ-SGDĐT-Chương_VI-Điều_33,BAO_GOM_DIEU
QC-1789/QĐ-SGDĐT-Chương_VI,QC-1789/QĐ-SGDĐT-Chương_VI-Điều_34,BAO_GOM_DIEU
QC-1789/QĐ-SGDĐT-Chương_VI,QC-1789/QĐ-SGDĐT-Chương_VI-Điều_35,BAO_GOM_DIEU
QC-1789/QĐ-SGDĐT,QC-1789/QĐ-SGDĐT-Chương_VII,BAO_GOM_CHUONG
QC-1789/QĐ-SGDĐT-Chương_VII,QC-1789/QĐ-SGDĐT-Chương_VII-Điều_36,BAO_GOM_DIEU
QC-1789/QĐ-SGDĐT-Chương_VII,QC-1789/QĐ-SGDĐT-Chương_VII-Điều_37,BAO_GOM_DIEU
QC-1789/QĐ-SGDĐT-Chương_VII,QC-1789/QĐ-SGDĐT-Chương_VII-Điều_38,BAO_GOM_DIEU
QC-1789/QĐ-SGDĐT-Chương_VII,QC-1789/QĐ-SGDĐT-Chương_VII-Điều_39,BAO_GOM_DIEU
1789/QĐ-SGDĐT,1789/QĐ-SGDĐT-Phụ_lục_I,CO_PHU_LUC
1789/QĐ-SGDĐT,1789/QĐ-SGDĐT-Phụ_lục_II,CO_PHU_LUC
1789/QĐ-SGDĐT,1789/QĐ-SGDĐT-Phụ_lục_III,CO_PHU_LUC
1789/QĐ-SGDĐT,1789/QĐ-SGDĐT-Phụ_lục_IV,CO_PHU_LUC
