coquanId:ID,ten,:LABEL
Vụ GDTH,Vụ GDTH,CoQuanToChuc
Cục CNTT,Cục CNTT,CoQuanToChuc
Vụ PC,Vụ PC,CoQuanToChuc
Vụ KHTC,Vụ KHTC,CoQuanToChuc
Các Sở GDĐT và các đơn vị cung cấp dịch vụ,Các Sở GDĐT và các đơn vị cung cấp dịch vụ,CoQuanToChuc
Sở GDĐT,Sở GDĐT,CoQuanToChuc
Cục CNTT và các đơn vị cung cấp dịch vụ,Cục CNTT và các đơn vị cung cấp dịch vụ,CoQuanToChuc
Cục CNTT và các đơn vị,Cục CNTT và các đơn vị,CoQuanToChuc
