vanbanId:ID,loaiVanBan,trichYeu,ngayBanHanh,noiBanHanh,coQuanBanHanh,:LABEL
213/KH-BGDĐT,Kế hoạch,Triển khai thí điểm Học bạ số cấp Tiểu học,01 tháng 3 năm 2024,Hà Nội,BỘ GIÁO DỤC VÀ ĐÀO TẠO,VanBan
Chỉthịsố04/CT-TTg,Chỉ thị,Chỉ thị số Chỉthịsố04/CT-TTg,,,,VanBan
