coquanId:ID,ten,:LABEL
SỞ GIÁO DỤC VÀ ĐÀO TẠO THÀNH PHỐ HỒ CHÍ MINH,UỶ BAN NHÂN DÂN THÀNH PHỐ HỒ CHÍ MINH SỞ GIÁO DỤC VÀ ĐÀO TẠO,CoQuanToChuc
Phòng Giáo dục và Đào tạo,Phòng Giáo dục và Đào tạo,CoQuanToChuc
cơ sở giáo dục,cơ sở giáo dục,CoQuanToChuc
