vanbanId:ID,loaiVanBan,trichYeu,ngayBanHanh,noiBanHanh,coQuanBanHanh,:LABEL
613/SGDĐT-GDTH,Công văn,"hướng dẫn thực hiện Học bạ số
cấp tiểu học",13 tháng 02 năm 2025,Thành phố Hồ Chí Minh,SỞ GIÁO DỤC VÀ ĐÀO TẠO THÀNH PHỐ HỒ CHÍ MINH,VanBan
119/BGDĐT-GDTH,Công văn,Công văn số 119/BGDĐT-GDTH ngày 10 tháng 01 năm 2025 về hướng dẫn thực hiện Học bạ số cấp tiểu học,VanBan
5025/BGDĐT-GDTH,Công văn,Công văn số 5025/BGDĐT-GDTH ngày 14 tháng 8 năm 2024 về hướng dẫn thực hiện nhiệm vụ giáo dục tiểu học năm học 2024-2025,VanBan
04/CT-TTg,Chỉ,"Chỉ thị số 04/CT-TTg ngày 11/02/2024 của Thủ tướng Chính phủ về tiếp tục đẩy mạnh triển khai Đề án phát triển ứng dụng dữ liệu về dân cư, định danh và xác thực điện tử phục vụ chuyển đổi số quốc gia giai đoạn 2022-2025, tầm nhìn đến năm 2030 tại các bộ, ngành, địa phương năm 2024 và những năm tiếp theo (viết tắt là Chỉ thị số 04/CT-TTg).",VanBan
131/QĐ-TTg,Quyết,"Quyết định số 131/QĐ-TTg ngày 25/01/2022 của Thủ tướng Chính phủ về tăng cường ứng dụng công nghệ thông tin và chuyển đổi số trong giáo dục và đào tạo giai đoạn 2022 - 2025, định hướng đến năm 2030 (viết tắt là Quyết định số 131/QĐ-TTg).",VanBan
06/QĐ-TTg,Quyết,"Quyết định số 06/QĐ-TTg ngày 06/01/2022 của Thủ tướng Chính phủ về phát triển ứng dụng dữ liệu về dân cư, định danh và xác thực điện tử phục vụ chuyền đôi số quốc gia giai đoạn 2022-2025, tầm nhìn đến năm 2030 (viết tắt là Đề án số 06).",VanBan
13/2023/NĐ-CP,Nghị,Nghị định số 13/2023/NĐ-CP của Chính phủ về Bảo vệ dữ liệu cá nhân; Nghị định số 85/2016/NĐ-CP của Chính phủ về bảo đảm an toàn hệ thống thông tin theo cấp độ; Thông tư số 12/2022/TT-BTTTT của Bộ Thông tin và truyền thông về Quy định chi tiết và hướng dẫn một số điều của Nghị định số 85/2016/NĐ-CP của Chính phủ về bảo đảm an toàn hệ thống thông tin theo cấp độ.,VanBan
130/2018/NĐ-CP,Nghị,"Nghị định số 130/2018/NĐ-CP của Chính phủ về Quy định chi tiết thi hành luật giao dịch điện tử về chữ ký số và dịch vụ chứng thực chữ ký số (Nghị định số 130/2018/NĐ-CP) và Nghị định số 48/2024/NĐ-CP của Chính phủ về sửa đổi, bổ sung một số điều của Nghị định số 130/2018/NĐ-CP; Nghị định số 68/2024/NĐ-CP của Chính phủ về Quy định về chữ ký số chuyên dùng công vụ; Thông tư số 41/2017/TT-BTTTT của Bộ Thông tin và truyền thông về Quy định sử dụng chữ ký số cho văn bàn điện tử trong cơ quan nhà nước.",VanBan
